,date,Google,META,Microsoft,Unpaid
0,2024-09-18,175,27,5,186
1,2024-09-19,150,29,5,153
2,2024-09-20,144,29,10,120
3,2024-09-21,146,22,1,139
4,2024-09-22,197,38,5,149
5,2024-09-23,191,39,6,181
6,2024-09-24,172,53,7,169
7,2024-09-25,150,44,4,136
8,2024-09-26,141,49,4,183
9,2024-09-27,145,30,5,132
10,2024-09-28,135,32,3,124
11,2024-09-29,162,30,4,137
12,2024-09-30,153,14,7,151
13,2024-10-01,208,31,8,124
14,2024-10-02,189,23,6,141
15,2024-10-03,209,21,4,132
16,2024-10-04,157,14,10,127
17,2024-10-05,168,13,7,115
18,2024-10-06,223,20,3,149
19,2024-10-07,222,17,9,148
20,2024-10-08,235,13,8,150
21,2024-10-09,236,12,9,202
22,2024-10-10,332,23,7,280
23,2024-10-11,272,20,14,214
24,2024-10-12,304,14,6,210
25,2024-10-13,271,23,5,394
26,2024-10-14,169,24,5,130
27,2024-10-15,199,26,6,139
28,2024-10-16,158,32,10,112
29,2024-10-17,155,37,6,127
30,2024-10-18,161,23,5,100
